activity_id,title,activity_category,meta_description,thumbnail_image_url,start_date,end_date,register_number,participated_number,expense_money,visible,content,viewCount,created_on,last_modified_on,permalink_url
FB00421,,Không xác định,,https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/kD5Sv0isIPs.png?_nc_eui2=AeHq1ciGnNzEkP8ZQ2aDFiI0kjUNVSmh29aSNQ1VKaHb1rg5B6mwqt9Soejq5LxWFCiH1PGjvrY8zJKOdsg72r5S,,,,,,True,,,2025-04-07T00:37:39.411819,2025-04-07T00:37:39.411819,https://www.facebook.com/ETClub.UEH/posts/1338716709959684?comment_id=1338752049956150&__cft__[0]=AZUArWavH8FRr5MwaJbXANVfqIfxqN5ouN6N5kzjA3U7L1ZYP6bX85js-roq1we2vamwEx4AzNfuao5-uQfGdWEMnzOkwa3iMg_sqAocWansmA9DhHfQQlKu2d_lr31kR1kDo2qn3AfPHPD7vY6AWxoKyOnEeGRMJk1PmO4mzlhZ-qq2GxF4-Bc-0rkNL_Ls8hnj7dL80DyDlrSNP8vtbRz-&__tn__=R-R
FB00422,,Không xác định,,https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/kD5Sv0isIPs.png?_nc_eui2=AeHq1ciGnNzEkP8ZQ2aDFiI0kjUNVSmh29aSNQ1VKaHb1rg5B6mwqt9Soejq5LxWFCiH1PGjvrY8zJKOdsg72r5S,,,,,,True,,,2025-04-07T00:37:52.059918,2025-04-07T00:37:52.059918,https://www.facebook.com/ETClub.UEH/posts/818278657159446?comment_id=1186386189296686&reply_comment_id=2440416776349871&__cft__[0]=AZVK57u0sCvS89-xl6jgozu4nqqwDk0ovK4tzjh1E60jA_NJ-8-EfX_J3tuPZzJEpbsiK9wpSQpEHpjpy8uOgvlboUKGZLmM4un7JQRDMnpav9n__JfFs_T50sCG9BB5Lw1vE96Y8DWzU_V50pGq3FbEDp5j5Cqc9l8m18Cd26PDeSAz8ACg8NkITNHQheC7s5k&__tn__=R-R
FB00423,,Không xác định,,https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/kD5Sv0isIPs.png?_nc_eui2=AeHq1ciGnNzEkP8ZQ2aDFiI0kjUNVSmh29aSNQ1VKaHb1rg5B6mwqt9Soejq5LxWFCiH1PGjvrY8zJKOdsg72r5S,,,,,,True,,,2025-04-07T00:38:09.131288,2025-04-07T00:38:09.131288,https://www.facebook.com/ETClub.UEH/posts/669736405347006?comment_id=242406858749966&reply_comment_id=2414757218719838&__cft__[0]=AZWbk7-5RCdTcFgvBM2SAViGRzSLzPmoGWI48yKCplDzjj2s7AVw-5EhtGwO3tC4vREazy7iwWbLWmFR6TjGCNDZVV679Zma7iKd0G7v1PiJjZCbLl78khLtzmIf0YmKJovhPRMgI0fQHlBDyp6tvlxFKHt-aY9oU6eV-qI1U6IrLpKGIaJ9e2MwqNXQjWC3IJI&__tn__=R-R
FB00424,,Không xác định,,https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/kD5Sv0isIPs.png?_nc_eui2=AeHq1ciGnNzEkP8ZQ2aDFiI0kjUNVSmh29aSNQ1VKaHb1rg5B6mwqt9Soejq5LxWFCiH1PGjvrY8zJKOdsg72r5S,,,,,,True,,,2025-04-07T00:38:21.603275,2025-04-07T00:38:21.603275,https://www.facebook.com/ETClub.UEH/posts/721446166842696?comment_id=1624484715044445&reply_comment_id=716770427316128&__cft__[0]=AZXUFX7VFkwBM5djy_fyzu4-TZ6Qk9_Gq9UO2Bp6qFsRrRcq2bezlnX-ZqRDDv4ai_faCHj2tW9y6cS5k3i8GyrfUpM84qvbgS942j8c8A_TlF9fpxAwgr7isl0V8cxE6x3j2gOeicwDlM-8UefPmHI_fzYtAHiWzDHvYuwQlzdtOBRbTv9dF01R5JjcC5V0PTw&__tn__=R-R
FB00425,,Không xác định,,https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/kD5Sv0isIPs.png?_nc_eui2=AeHq1ciGnNzEkP8ZQ2aDFiI0kjUNVSmh29aSNQ1VKaHb1rg5B6mwqt9Soejq5LxWFCiH1PGjvrY8zJKOdsg72r5S,,,,,,True,,,2025-04-07T00:38:34.104393,2025-04-07T00:38:34.104393,https://www.facebook.com/ETClub.UEH/posts/513858047601510?comment_id=3074335126206461&__cft__[0]=AZUwquT0GGb-bFeKF8T4WoE_JNFPL3CkjZzL4oH4zRI5Rq7ZL_vhr-2exb2LD6WvX_ebydKjE0_TEmZiwwMjgwAk0QdUPk6DkYAflTcgdMPUlcbxjfguFopP2NxNceCHnw9K9sCtM4aAC6pIdeuJNyzqoj7Z85ddYXlwr8Z7zSkUWQit9k8FpbY-ycGmYj2_3TQ&__tn__=R-R
FB00426,,Không xác định,,https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/kD5Sv0isIPs.png?_nc_eui2=AeHq1ciGnNzEkP8ZQ2aDFiI0kjUNVSmh29aSNQ1VKaHb1rg5B6mwqt9Soejq5LxWFCiH1PGjvrY8zJKOdsg72r5S,,,,,,True,,,2025-04-07T00:38:45.211803,2025-04-07T00:38:45.211803,https://www.facebook.com/ETClub.UEH/posts/1085176128647078?comment_id=1085183538646337&__cft__[0]=AZVWjsA98dncxovgvB6L9-svyfh2QQreJCUITIqSYF1cKKjuqj0NVmlRuKEBw08Stl_fiVFJ8fjGjltbgH-dypnMQM_ZC_jagCCitpD4DWyBJ0WOV4bEJEYs1DBE0DxQTg2QlI6ETZ3_kyywHEhwfwd77wFA-DSMVmKVihu7oTIaVQbJzqL-IHwZy3UKRqNqZhCFNDAHIxJgkvteIZb8USjD&__tn__=R-R
FB00427,,Không xác định,,https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/kD5Sv0isIPs.png?_nc_eui2=AeHq1ciGnNzEkP8ZQ2aDFiI0kjUNVSmh29aSNQ1VKaHb1rg5B6mwqt9Soejq5LxWFCiH1PGjvrY8zJKOdsg72r5S,,,,,,True,,,2025-04-07T00:38:58.015028,2025-04-07T00:38:58.015028,https://www.facebook.com/ETClub.UEH/posts/549124740741507?comment_id=157583493934825&reply_comment_id=620954566602753&__cft__[0]=AZWpDnn89LhzMj4MzmDJXpQPp0W4hhdUJf7gihbo5gAL-afaFaZX6hamW8deGPJDJDsh9AUv-fPUv8hqgEBiPfgvNwaG2hd_fnHFXngsjb61G1daYwBGkHv-fe2dbbQghQGAwl2oOaLDYYd1VlnAe16q_BWPBdJi-c8_lCcWv8-knEsIF2FHHB-sE5L3a548qsk&__tn__=R-R
FB00428,,Không xác định,,https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/kD5Sv0isIPs.png?_nc_eui2=AeHq1ciGnNzEkP8ZQ2aDFiI0kjUNVSmh29aSNQ1VKaHb1rg5B6mwqt9Soejq5LxWFCiH1PGjvrY8zJKOdsg72r5S,,,,,,True,,,2025-04-07T00:39:11.763929,2025-04-07T00:39:11.763929,https://www.facebook.com/ETClub.UEH/posts/1004131823418176?comment_id=1004337796730912&__cft__[0]=AZXUCd4GlbEqyLNFc4REGAdYbcIdZOukeh15yeWVREvBS6Qkhi43wR5DJTpkftaogdci1A6FHPMTqkhMKcyJSQGLof98tmOO19h8hFxNZeS8ekp87XY_OVdy-t50yE8yBIMG4cPD3wxoeFdD6DP8UyOaPY-sI-VkbNlhtaFtshtOXCItFNmu9hfNFRL8-44c9iktcGqEKWTrsiPBWCgqs9Z8&__tn__=R-R
FB00429,,Không xác định,,https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/kD5Sv0isIPs.png?_nc_eui2=AeHq1ciGnNzEkP8ZQ2aDFiI0kjUNVSmh29aSNQ1VKaHb1rg5B6mwqt9Soejq5LxWFCiH1PGjvrY8zJKOdsg72r5S,,,,,,True,,,2025-04-07T00:39:24.343879,2025-04-07T00:39:24.343879,https://www.facebook.com/ETClub.UEH/posts/666048405715806?comment_id=2803118083161448&__cft__[0]=AZUYDMxf4iKPpr3j4debaUH4YHZ0wzi-jj2qCD3_JgFgaQdLzq2vUrjP987rvSTloZ0J9R7ZNwqmrVFNDcauL9OQYSXs2IElv9WCE2_TnQFyngsBySHhorxuspe7eAaFZ47MW8BPy1kNvEJIttWSPXBvIIdoBibF7Xk3IXDcxWVCLW1r8zcDdBETtLJEctuuMOs&__tn__=R-R
FB00430,,Không xác định,,https://scontent.fsgn2-8.fna.fbcdn.net/v/t1.15752-9/476499552_1420272975987758_4180479456986187126_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=102&ccb=1-7&_nc_sid=b70caf&_nc_eui2=AeE4gKIfY4SqYsfdciCbl2PL0Ts-TnggxF3ROz5OeCDEXV_UEx5WXNBJ10zu2RRvmRVh1t_MTWg2c-pXZvPukP3Z&_nc_ohc=sMCwZXWeXUsQ7kNvwGrrepe&_nc_oc=AdluvmxZSAAY_i4OPZhTtSw-rT4FKqbRvBP17twSBYd5wc7FWbzmCPnQ0m-9jXx_gd8&_nc_zt=23&_nc_ht=scontent.fsgn2-8.fna&oh=03_Q7cD2AGWwpnWoFxubhxr9T_zgsJmbKuTaNH8oXpXpUVE3CypGw&oe=681A3065,,,,,,True,,,2025-04-07T00:39:45.028352,2025-04-07T00:39:45.028352,https://www.facebook.com/ETClub.UEH/posts/669736405347006?comment_id=242406858749966&__cft__[0]=AZWbk7-5RCdTcFgvBM2SAViGRzSLzPmoGWI48yKCplDzjj2s7AVw-5EhtGwO3tC4vREazy7iwWbLWmFR6TjGCNDZVV679Zma7iKd0G7v1PiJjZCbLl78khLtzmIf0YmKJovhPRMgI0fQHlBDyp6tvlxFKHt-aY9oU6eV-qI1U6IrLpKGIaJ9e2MwqNXQjWC3IJI&__tn__=R-R
FB00431,,Không xác định,,https://scontent.fsgn2-8.fna.fbcdn.net/v/t1.15752-9/476499552_1420272975987758_4180479456986187126_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=102&ccb=1-7&_nc_sid=b70caf&_nc_eui2=AeE4gKIfY4SqYsfdciCbl2PL0Ts-TnggxF3ROz5OeCDEXV_UEx5WXNBJ10zu2RRvmRVh1t_MTWg2c-pXZvPukP3Z&_nc_ohc=sMCwZXWeXUsQ7kNvwGrrepe&_nc_oc=AdluvmxZSAAY_i4OPZhTtSw-rT4FKqbRvBP17twSBYd5wc7FWbzmCPnQ0m-9jXx_gd8&_nc_zt=23&_nc_ht=scontent.fsgn2-8.fna&oh=03_Q7cD2AGWwpnWoFxubhxr9T_zgsJmbKuTaNH8oXpXpUVE3CypGw&oe=681A3065,,,,,,True,,,2025-04-07T00:39:57.197622,2025-04-07T00:39:57.197622,https://www.facebook.com/ETClub.UEH/posts/511551177832197?comment_id=783852943176409&__cft__[0]=AZUvZ6uw0HbqwJM7USjE-gubEDDhf5008trCuyIs5aWdD-2RB3qmorNxhifIflXBq17kRiKqB3QXh8R_WqcZ9i6sWWETLTNmv4c0-k8Wa47DBtUGVSh7cuKNaquqdEJ3EUiYuiDMxP1xWqmx5n1YlkxjhDFEQmvcioNMzv9TWcgFS-zC_nD4SSWuyhwt9N_E0bg&__tn__=R-R
FB00432,,Không xác định,,https://scontent.fsgn2-8.fna.fbcdn.net/v/t1.15752-9/476499552_1420272975987758_4180479456986187126_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=102&ccb=1-7&_nc_sid=b70caf&_nc_eui2=AeE4gKIfY4SqYsfdciCbl2PL0Ts-TnggxF3ROz5OeCDEXV_UEx5WXNBJ10zu2RRvmRVh1t_MTWg2c-pXZvPukP3Z&_nc_ohc=sMCwZXWeXUsQ7kNvwGrrepe&_nc_oc=AdluvmxZSAAY_i4OPZhTtSw-rT4FKqbRvBP17twSBYd5wc7FWbzmCPnQ0m-9jXx_gd8&_nc_zt=23&_nc_ht=scontent.fsgn2-8.fna&oh=03_Q7cD2AGWwpnWoFxubhxr9T_zgsJmbKuTaNH8oXpXpUVE3CypGw&oe=681A3065,,,,,,True,,,2025-04-07T00:40:08.731291,2025-04-07T00:40:08.731291,https://www.facebook.com/ETClub.UEH/posts/521121296875185?comment_id=620165569952126&__cft__[0]=AZU3ri-FTWeae6bzJySwmlzytQBAd1JLxPsNFzgoOdsgHQQSRRz97maQ_MEQRg7Scbt_MV-QBEKCbJjkI32rzH-DJOVnlYliLRqrZloC2aeSxldK3sBe6f_Iw_dHPEACNj2NuLP0qoWrVpcqhCtRBO2gwMppis1dS8TkzTvKnoYdqImLceQuzHi1VBHFvrBqk2U&__tn__=R-R
